LBM 100E,LBM 90E,LBM 80E,LBM 70E,LBM 60E,LBM 50E,LBM 40E,LBM 30E,LBM 20E,LBM 10E,LBM 100F
1.330368887,1.301636205,1.272903524,1.244170843,1.215438161,1.18670548,1.157972798,1.129240117,1.100507436,1.071774754,1.042171856
1.303256844,1.279942802,1.25639669,1.232619881,1.208613738,1.184379615,1.159918854,1.135232786,1.110322733,1.085190006,1.058951677
1.208437976,1.192029256,1.175269841,1.158155433,1.14068166,1.122844083,1.104638187,1.08605938,1.067102997,1.047764294,1.027180745
1.255537585,1.232849889,1.210009095,1.187012943,1.163859127,1.140545295,1.11706905,1.093427945,1.069619484,1.04564112,1.020638019
1.243948002,1.221364026,1.198658667,1.175828959,1.152871838,1.129784138,1.10656259,1.083203812,1.059704308,1.036060462,1.011423993
1.354395541,1.321372556,1.288495672,1.255766105,1.223185082,1.190753847,1.158473657,1.126345783,1.094371509,1.062552135,1.030028899
1.394713793,1.35601152,1.31752981,1.279274961,1.241253513,1.20347226,1.165938265,1.128658866,1.091641697,1.0548947,1.017576462
1.35700922,1.322671322,1.288441043,1.254322183,1.220318724,1.186434838,1.152674902,1.119043509,1.085545482,1.052185887,1.018970052
1.407058918,1.366343692,1.325861316,1.285619593,1.245626675,1.205891086,1.166421747,1.127227994,1.088319604,1.049706824,1.011400397
1.427013043,1.382342513,1.338041785,1.294120845,1.250590043,1.207460107,1.164742164,1.122447755,1.080588858,1.039177905,0.998227806
1.311120205,1.280193441,1.249298726,1.218437652,1.18761192,1.156823346,1.126073872,1.09536558,1.064700701,1.03408163,1.003510942
1.258333749,1.234406341,1.210471583,1.18652899,1.162578037,1.138618151,1.114648704,1.090669007,1.066678305,1.042675767,1.018660474
1.17144093,1.155596312,1.139751693,1.123907075,1.108062457,1.092217839,1.07637322,1.060528602,1.044683984,1.028839366,1.012994748
1.318711008,1.285265543,1.252424154,1.220176538,1.188512625,1.157422573,1.126896758,1.096925772,1.067500412,1.038611681,1.010250775
1.352449495,1.315789328,1.279781117,1.244416889,1.209688802,1.17558914,1.142110311,1.109244847,1.076985395,1.045324724,1.014255714
1.370610693,1.33281597,1.295501209,1.258668237,1.222318888,1.186455005,1.151078442,1.116191062,1.081794735,1.047891346,1.014482783
1.267426809,1.242194535,1.217112269,1.192182047,1.167405941,1.142786059,1.118324551,1.094023603,1.069885445,1.045912345,1.022106615
1.041548403,1.041465033,1.041153762,1.040610703,1.039831881,1.03881323,1.037550589,1.036039701,1.034276208,1.032255652,1.029973467
0.82759279,0.84880474,0.870149445,0.891633372,0.913263415,0.935046931,0.956991779,0.979106364,1.001399686,1.023881391,1.046561834
0.833367706,0.854661751,0.876063918,0.897579342,0.919213487,0.940972178,0.962861624,0.984888456,1.007059759,1.029383116,1.051866648
0.861055034,0.879062071,0.897362283,0.915972626,0.934911388,0.954198326,0.973854812,0.993904007,1.014371044,1.035283251,1.056670392
0.881186954,0.898868416,0.91686606,0.935198572,0.953886136,0.972950595,0.992415617,1.012306899,1.03265238,1.053482498,1.074830471
0.965582101,0.97702932,0.988695816,1.000593944,1.012737008,1.02513935,1.037816452,1.050785055,1.064063291,1.077670821,1.091629014
0.914147269,0.927639866,0.941373093,0.955360648,0.969617285,0.984158925,0.999002769,1.01416743,1.029673083,1.045541629,1.061796888
0.960820469,0.973499407,0.986178345,0.998857284,1.011536222,1.02421516,1.036894098,1.049573037,1.062251975,1.074930913,1.087609851
0.759470221,0.790141229,0.821616372,0.853911104,0.887041274,0.921023144,0.955873402,0.991609172,1.028248033,1.065808033,1.104307703
0.769710006,0.800928121,0.833116814,0.866305168,0.900523437,0.935803111,0.972176976,1.009679182,1.048345316,1.088212476,1.129319355
0.716867719,0.751011093,0.786596683,0.82369476,0.862380236,0.902733052,0.944838609,0.98878824,1.034679739,1.082617937,1.132715348
0.651465591,0.6920788,0.73424892,0.778028592,0.823472859,0.870639301,0.919588186,0.970382625,1.023088748,1.077775879,1.134516736
0.712046938,0.752603397,0.793476549,0.834659006,0.876143602,0.917923397,0.959991656,1.002341852,1.04496765,1.087862906,1.131021656
0.782742262,0.81896827,0.854686634,0.889930912,0.924731769,0.959117279,0.993113198,1.026743194,1.060029055,1.092990874,1.125647211
0.707072051,0.752947738,0.798086422,0.842537413,0.886345718,0.929552499,0.972195478,1.014309286,1.055925777,1.097074296,1.137781925
0.735367014,0.776719651,0.817899532,0.858914595,0.899772296,0.940479649,0.981043258,1.021469345,1.061763777,1.101932095,1.141979531
0.808196184,0.842707005,0.877143577,0.911509062,0.945806441,0.980038536,1.01420801,1.048317388,1.082369056,1.11636528,1.150308206
0.683313614,0.727193631,0.771460556,0.816105887,0.86112137,0.906498987,0.952230952,0.998309699,1.044727878,1.091478344,1.13855415
0.626430621,0.679757944,0.733345764,0.78718634,0.841272237,0.895596307,0.950151677,1.004931737,1.059930125,1.115140719,1.170557621
0.548533718,0.612254157,0.675974596,0.739695035,0.803415475,0.867135914,0.930856353,0.994576792,1.058297231,1.12201767,1.185738109
0.771955583,0.830178769,0.883215439,0.931364448,0.974902122,1.014084342,1.049148404,1.08031467,1.107788059,1.131759369,1.15240648
0.674983046,0.734100856,0.78990534,0.842557697,0.892208839,0.939000194,0.983064442,1.024526179,1.063502526,1.100103681,1.134433421
0.667517616,0.726154758,0.781580981,0.833960543,0.883446681,0.93018253,0.974301933,1.015930189,1.055184722,1.09217569,1.127006538
0.545307623,0.604740508,0.663657158,0.722109242,0.780141758,0.837794074,0.895100782,0.952092402,1.008795963,1.065235487,1.121432398
0.636903446,0.69044847,0.741846213,0.791384037,0.83930022,0.885794002,0.931033271,0.975160492,1.018297347,1.060548388,1.102003952
0.580747538,0.636892946,0.691961742,0.74611119,0.799469344,0.852141535,0.904215191,0.955763489,1.006848144,1.05752157,1.107828567
0.526363605,0.582200145,0.637706209,0.692943244,0.74795835,0.802788241,0.857461955,0.91200276,0.966429524,1.020757701,1.075000076
0.495667946,0.554545365,0.61354124,0.672637702,0.731820307,0.791077247,0.850398781,0.909776796,0.969204485,1.028676091,1.088186716
