spx100e,spx90e,spx80e,spx70e,spx60e,spx50e,spx40e,spx30e,spx20e,spx10e,spx0e
1.420270319,1.382068189,1.343988933,1.306036283,1.268214125,1.230526503,1.192977632,1.155571904,1.1183139,1.081208396,1.044260377
1.398735573,1.364927045,1.331127242,1.297336406,1.263554786,1.229782641,1.19602024,1.162267862,1.128525798,1.094794347,1.061073824
1.306728666,1.279394954,1.251979837,1.224479664,1.196890567,1.169208434,1.1414289,1.113547322,1.085558754,1.057457928,1.029239224
1.334759011,1.303607845,1.272446023,1.241272935,1.210087925,1.178890282,1.14767924,1.116453969,1.08521357,1.053957063,1.022683386
1.302744548,1.273895061,1.245030952,1.216151232,1.187254823,1.158340542,1.129407095,1.100453059,1.071476865,1.042476782,1.013450894
1.410858432,1.372651855,1.334508159,1.296430769,1.258423363,1.220489895,1.182634624,1.144862143,1.10717741,1.069585787,1.032093085
1.477460458,1.431446205,1.38547355,1.339545453,1.293665161,1.247836244,1.202062638,1.15634869,1.110699217,1.065119566,1.019615693
1.45284801,1.409664417,1.366480823,1.32329723,1.280113636,1.236930043,1.19374645,1.150562856,1.107379263,1.064195669,1.021012076
1.543723945,1.487897819,1.43269742,1.378121128,1.32416733,1.270834418,1.218120789,1.166024847,1.114544999,1.063679661,1.013427251
1.542256464,1.4846525,1.427817018,1.371745198,1.316432256,1.261873452,1.208064083,1.154999485,1.102675034,1.051086143,1.000228262
1.395790439,1.357456013,1.31897763,1.280351784,1.241574853,1.202643096,1.163552649,1.124299515,1.084879565,1.045288529,1.005521986
1.381112446,1.346284877,1.311211953,1.275885285,1.240296098,1.204435207,1.168292994,1.131859381,1.095123803,1.058075179,1.020701878
1.305309988,1.27842699,1.251117292,1.223363864,1.195148754,1.166453031,1.137256711,1.107538691,1.077276662,1.046447025,1.015024797
1.494755081,1.445491799,1.396437313,1.347597517,1.298978529,1.250586705,1.202428642,1.154511201,1.106841509,1.05942698,1.012275326
1.525553429,1.473289032,1.421294649,1.369579684,1.318153981,1.267027854,1.216212112,1.165718089,1.115557681,1.065743376,1.016288291
1.557326967,1.50199481,1.446900557,1.392057314,1.337479168,1.28318128,1.22917999,1.175492934,1.122139173,1.069139342,1.016515815
